 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "LoadCycle_time" ,
 "MD-DD5V-VE1" , "Derakane 411-C-50" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.44" , "42916.00" ,
 "MD-DD5V-VE1" , "Derakane 411-C-50" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.56" , "54570.00" ,
 "MD-DD5V-VE1" , "Derakane 411-C-50" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.89" , "5751.00" ,
 "MD-DD5V-VE1" , "Derakane 411-C-50" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.52" , "58782.00" ,
 "MD-DD5V-VE1" , "Derakane 411-C-50" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.30" , "618125.00" ,
 "MD-DD5V-VE1" , "Derakane 411-C-50" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.46" , "68513.00" ,
 "MD-DD5V-VE1" , "Derakane 411-C-50" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.66" , "8529.00" ,
 "MD-DD5V2-VE2" , "Derakane 8084" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.89" , "18445.00" ,
 "MD-DD5V2-VE2" , "Derakane 8084" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.94" , "20070.00" ,
 "MD-DD5V2-VE2" , "Derakane 8084" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.53" , "228519.00" ,
 "MD-DD5V2-VE2" , "Derakane 8084" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.89" , "35015.00" ,
 "MD-DD5V2-VE2" , "Derakane 8084" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.25" , "3738875.00" ,
 "MD-DD5V2-VE2" , "Derakane 8084" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.62" , "375206.00" ,
 "MD-DD5V2-VE2" , "Derakane 8084" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.05" , "1.61" , "454290.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "2.09" , "1302.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.79" , "17421.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.79" , "18696.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.28" , "193637.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.76" , "26109.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.22" , "300000.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.35" , "406267.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.94" , "841.00" ,
 "MD-DD6-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "3.53" , "1.85" , "928.00" ,
 "MD-DD7-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.11" , "1.43" , "2916.00" ,
 "MD-DD7-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.11" , "1.43" , "3379.00" ,
 "MD-DD7-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.11" , "1.52" , "784.00" ,
 "MD-DD7-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.11" , "1.48" , "978.00" ,
 "MD-DD8-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.67" , "1.31" , "5846.00" ,
 "MD-DD8-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.67" , "1.88" , "63076.00" ,
 "MD-DD8A-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.61" , "1.27" , "321056.00" ,
 "MD-DD8A-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "72.0" , "28.0" , "0.0" , "0.0" , "22.0" , "2.61" , "1.22" , "385518.00" ,
