 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStress_MPa" , "FatigueTestFrequency_Hz" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "-17.2" , "12.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "-15.5" , "15.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "103" , "15.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "-24.1" , "2.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "207" , "2.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "-20.7" , "4.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "172" , "4.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "-17.2" , "5.0" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "138" , "5.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "-17.2" , "10.0" ,
